complete_address,address,label,building,house_details,locality,pincode,city,state
"H.No. 79 Pingle Nagar, Near Park, Bhopal, Madhya Pradesh - 982739","H.No. 79 Pingle Nagar, Near Park, Bhopal, Madhya Pradesh - 982739",0,,H.No. 79,Pingle Nagar,982739,Bhopal,Madhya Pradesh
"H.No. 340, Prashad, Near Park, Agra, Uttar Pradesh - 256440","340, Near Park, Uttar Pradesh",1,,340,Park,201005,Uttar Pradesh,
"14 Vora Marg, Above Shop, Varanasi, Uttar Pradesh - 516270","Marg, Above Uttar Pradesh 516270",1,,,Marg,201270,,UTTAR PRADESH
"161, Seshadri Road, Opposite Mall, Bhubaneswar, Odisha - 572956","161, Seshadri Road, Opposite Mall, Bhubaneswar, Odisha - 572956",0,,161,Bhubaneswar,122506,,Odisha
"H.No. 62, Parsa Marg, Above Shop, Thiruvananthapuram, Kerala - 199380","H.No. 62, Parsa Marg, Above Shop, Thiruvananthapuram, Kerala - 199380",0,,H.No. 62,Thiruvananthapuram,600038,Kerala,
"H.No. 545, Shere Chowk, Near Park, Varanasi, Uttar Pradesh - 125629","H.No. 545, Shere Chowk, Near Park, Varanasi, Uttar Pradesh - 125629",0,,H.No. 545,Varanasi,210029,Uttar Pradesh,
"H.No. 92 Balasubramanian Marg, Above Shop, Agra, Uttar Pradesh - 412102","H.No. 92 Balasubramanian Marg, Above Shop, Agra, Uttar Pradesh - 412102",0,,H.No. 92,Agra,412102,Uttar Pradesh,
"H.No. 57, Sant Marg, Above Shop, Hyderabad, Telangana - 391459","57, Above Shop, Hyderabad, -",1,,57,,-,Hyderabad,
"962 Pingle Path, Opposite Mall, Chennai, Tamil Nadu - 060089","962 Pingle Path, Opposite Mall, Chennai, Tamil Nadu - 060089",0,,962,,600089,Chennai,Tamil Nadu
"754 Nadkarni, Opposite Mall, Chandigarh, Chandigarh - 222002","754 Nadkarni, Opposite Mall, Chandigarh, Chandigarh - 222002",0,,754,Nadkarni,220002,Chandigarh,
"70/03, Bala Ganj, Behind School, Nashik, Maharashtra - 045422","70/03, Bala Ganj, Behind School, Nashik, Maharashtra - 045422",0,,70/03,Bala Ganj,421004,Nashik,Maharashtra
"23/96 Gill Zila, Near Park, Ludhiana, Punjab - 350281","23/96 Gill Zila, Near Park, Ludhiana, Punjab - 350281",0,,23/96,Ludhiana,350281,Punjab,
"H.No. 74, Jaggi, Above Shop, Thiruvananthapuram, Kerala - 561580","74, Jaggi, Above Thiruvananthapuram, Kerala",1,,74,Jaggi,600019,Thiruvananthapuram,Kerala
"71/531, Pant Nagar, Above Shop, Ranchi, Jharkhand - 026417","71/531, Pant Nagar, Above Shop, Ranchi, Jharkhand - 026417",0,,71/531,Pant Nagar,026417,Ranchi,Jharkhand
"H.No. 788, Baral Nagar, Behind School, Chandigarh, Chandigarh - 209133","H.No. 788, Baral Nagar, Behind School, Chandigarh, Chandigarh - 209133",0,,H.No. 788,Baral Nagar,210913,Chandigarh,
"H.No. 492 Kale Ganj, Opposite Mall, Thiruvananthapuram, Kerala - 291831","H.No. 492 Kale Ganj, Opposite Mall, Thiruvananthapuram, Kerala - 291831",0,,H.No. 492,Kale Ganj,600131,Thiruvananthapuram,Kerala
"27/63 Rana Ganj, Opposite Mall, Delhi, Delhi - 190924","27/63 Rana Ganj, Opposite Mall, Delhi, Delhi - 190924",0,,27/63,,110002,Delhi,Delhi
"77, Dugal Circle, Opposite Mall, Mumbai, Maharashtra - 768448","77, Dugal Opposite Maharashtra 768448",1,,77,,400648,,
"82/70 Nath Ganj, Near Park, Ludhiana, Punjab - 523401","82/70 Nath Ganj, Near Park, Ludhiana, Punjab - 523401",0,,82/70,Ludhiana,523401,Punjab,
"03/938 Bhatti Path, Behind School, Amritsar, Punjab - 782636","03/938 Bhatti Path, Behind School, Amritsar, Punjab - 782636",0,,03/938,Amritsar,782306,Punjab,
"397 Parmar Street, Above Shop, Kolkata, West Bengal - 810428","397 Parmar Street, Above Shop, Kolkata, West Bengal - 810428",0,,397,,700028,Kolkata,West Bengal
"21 Bassi Circle, Near Park, Meerut, Uttar Pradesh - 588895","21 Bassi Circle, Near Park, Meerut, Uttar Pradesh - 588895",0,,,Meerut,201395,Uttar Pradesh,
"H.No. 92 Ganguly Ganj, Above Shop, Mumbai, Maharashtra - 388727","H.No. 92 Ganguly Ganj, Above Shop, Mumbai, Maharashtra - 388727",0,,H.No. 92,Ganguly Ganj,400027,Mumbai,Maharashtra
"00/561 Mani, Opposite Mall, Varanasi, Uttar Pradesh - 193401","00/561 Mani, Opposite Mall, Varanasi, Uttar Pradesh - 193401",0,,00/561,Mani,201301,Varanasi,Uttar Pradesh
"41 Suri Path, Above Shop, Chandigarh, Chandigarh - 053938","41 Suri Path, Above Shop, Chandigarh, Chandigarh - 053938",0,,41,Chandigarh,700093,Chandigarh,
"28/928, Soni Circle, Opposite Mall, Amritsar, Punjab - 089773","28/928, Soni Circle, Opposite Mall, Amritsar, Punjab - 089773",0,,28/928,Amritsar,089773,Punjab,
"669 Varty, Near Park, Pune, Maharashtra - 775209","669 Varty, Near Park, Pune, Maharashtra - 775209",0,,669,Pune,411009,Pune,Maharashtra
"92/237 Devi Ganj, Near Park, Bhubaneswar, Odisha - 938194","92/237 Devi Ganj, Near Park, Bhubaneswar, Odisha - 938194",0,,92/237,Bhubaneswar,938194,Odisha,
"536 De Ganj, Near Park, Srinagar, Jammu & Kashmir - 206519","536 De Ganj, Near Park, Srinagar, Jammu & Kashmir - 206519",0,,536,Srinagar,206519,Jammu & Kashmir,
"93/44 Venkatesh, Opposite Mall, Patna, Bihar - 313734","93/44 Venkatesh, Opposite Mall, Patna, Bihar - 313734",0,,93/44,Venkatesh,313174,Patna,Bihar
"21/74, Gour Ganj, Behind School, Lucknow, Uttar Pradesh - 256240","21/74, Gour Ganj, Behind School, Lucknow, Uttar Pradesh - 256240",0,,21/74,Lucknow,201240,Lucknow,Uttar Pradesh
"90/74 Bir Nagar, Behind School, Delhi, Delhi - 628187","90/74 Bir Nagar, Behind School, Delhi, Delhi - 628187",0,,90/74,Bir Nagar,110087,Delhi,Delhi
"H.No. 467 Kulkarni Ganj, Above Shop, Nashik, Maharashtra - 089047","467 Kulkarni Ganj, - 089047",1,,467,,089047,,
"845, Dube Ganj, Near Park, Raipur, Chhattisgarh - 998675","845, Dube Near Raipur, -",1,,845,Dube Near Raipur,110081,,
"H.No. 24, Borah Path, Near Park, Kochi, Kerala - 291772","H.No. 24, Borah Path, Near Park, Kochi, Kerala - 291772",0,,H.No. 24,Kochi,700172,Kochi,Kerala
"H.No. 433, Dani, Near Park, Vijayawada, Andhra Pradesh - 072034","H.No. 433, Dani, Near Park, Vijayawada, Andhra Pradesh - 072034",0,,H.No. 433,Dani,502034,Vijayawada,Andhra Pradesh
"43/64 Sen Nagar, Above Shop, Agra, Uttar Pradesh - 557693","43/64 Nagar, Uttar Pradesh -",1,,43/64,Nagar,201001,Uttar Pradesh,
"343, Bhatnagar Circle, Opposite Mall, Aurangabad, Maharashtra - 419214","343, Bhatnagar Circle, Opposite Mall, Aurangabad, Maharashtra - 419214",0,,343,Aurangabad,421214,,Maharashtra
"91/20, Sarraf Street, Near Park, Varanasi, Uttar Pradesh - 082372","91/20, Near Park, Uttar -",1,,91/20,Uttar,110059,,
"379, Srinivas Circle, Near Park, Patna, Bihar - 359354","379, Srinivas Circle, Near Park, Patna, Bihar - 359354",0,Srinivas Circle,379,Patna,359354,Bihar,
"H.No. 037, Sheth Street, Opposite Mall, Shimla, Himachal Pradesh - 125925","H.No. 037, Sheth Street, Opposite Mall, Shimla, Himachal Pradesh - 125925",0,,H.No. 037,Shimla,122505,Himachal Pradesh,
"075 Wagle Path, Opposite Mall, Varanasi, Uttar Pradesh - 057536","Mall, Varanasi, Uttar Pradesh 057536",1,,,Mall,201306,Varanasi,Uttar Pradesh
"H.No. 588 Mittal Chowk, Behind School, Vijayawada, Andhra Pradesh - 538382","H.No. 588 Mittal Chowk, Behind School, Vijayawada, Andhra Pradesh - 538382",0,,H.No. 588,Vijayawada,380382,Andhra Pradesh,
"09/881 Luthra Street, Behind School, Ahmedabad, Gujarat - 464149","09/881 Luthra Street, Behind School, Ahmedabad, Gujarat - 464149",0,,09/881,Ahmedabad,394149,Ahmedabad,Gujarat
"H.No. 47, Mahal Marg, Above Shop, Bhubaneswar, Odisha - 543117","H.No. 47, Mahal Marg, Above Shop, Bhubaneswar, Odisha - 543117",0,,H.No. 47,Bhubaneswar,543117,,Odisha
"66, Chowdhury Road, Opposite Mall, Aurangabad, Maharashtra - 246849","66, Chowdhury Road, Opposite Mall, Aurangabad, Maharashtra - 246849",0,,66,Aurangabad,421004,,Maharashtra
"39, Mander Path, Above Shop, Surat, Gujarat - 662430","Mander Path, Above Shop, Surat,",1,,,,395009,Surat,
"H.No. 16, Nayar Street, Near Park, Mumbai, Maharashtra - 397475","Nayar Near Park, Mumbai, -",1,,,Nayar Near Park,-400067,Mumbai,
"H.No. 981 Bhatia, Above Shop, Srinagar, Jammu & Kashmir - 341449","H.No. 981 Bhatia, Above Shop, Srinagar, Jammu & Kashmir - 341449",0,,H.No. 981 Bhatia,Srinagar,123114,Jammu & Kashmir,
"48 Tiwari Street, Behind School, Thiruvananthapuram, Kerala - 106315","48 Tiwari Street, Behind School, Thiruvananthapuram, Kerala - 106315",0,,48,Thiruvananthapuram,600115,Kanchipuram,Kerala
"57/03, Salvi Zila, Behind School, Dehradun, Uttarakhand - 938170","57/03, Salvi Zila, Behind School, Dehradun, Uttarakhand - 938170",0,,57/03,Salvi Zilla,938170,Dehradun,Uttarakhand
"79, Chawla Circle, Opposite Mall, Amritsar, Punjab - 657025","79, Chawla Circle, Opposite Mall, Amritsar, Punjab - 657025",0,,79,Amritsar,122005,Punjab,
"98/05, Luthra Road, Near Park, Kolkata, West Bengal - 757340","98/05, Luthra Road, Near Park, Kolkata, West Bengal - 757340",0,,98/05,,700034,Kolkata,West Bengal
"99/816, Butala Path, Near Park, Mumbai, Maharashtra - 467844","99/816, Butala Path, Near Park, Mumbai, Maharashtra - 467844",0,,99/816,,400084,Mumbai,Maharashtra
"38, Tata Street, Opposite Mall, Vijayawada, Andhra Pradesh - 722421","38, Tata Street, Opposite Mall, Vijayawada, Andhra Pradesh - 722421",0,,38,Vijayawada,722421,Andhra Pradesh,
"40 Chad Path, Opposite Mall, Jaipur, Rajasthan - 457010","Path, Opposite Mall, Rajasthan -",1,,,Rajasthan,110006,Mall,
"H.No. 91, Gola Chowk, Opposite Mall, Mumbai, Maharashtra - 163502","H.No. 91, Gola Chowk, Opposite Mall, Mumbai, Maharashtra - 163502",0,,H.No. 91,,400352,Mumbai,Maharashtra
"28/637 Dara Nagar, Above Shop, Jaipur, Rajasthan - 459737","28/637 Dara Nagar, Jaipur, Rajasthan",1,,28/637,Dara Nagar,122001,Jaipur,Rajasthan
"09/925 Wagle Circle, Above Shop, Chandigarh, Chandigarh - 900553","Circle, Shop, Chandigarh, - 900553",1,,,Chandigarh,900553,Circle,Shop
"037, Bala, Near Park, Vijayawada, Andhra Pradesh - 787623","037, Bala, Near Park, Vijayawada, Andhra Pradesh - 787623",0,,037,Bala,500062,Vijayawada,Andhra Pradesh
"H.No. 06 Johal Chowk, Opposite Mall, Pune, Maharashtra - 771735","H.No. 06 Johal Chowk, Opposite Mall, Pune, Maharashtra - 771735",0,,H.No. 06,Pune,411035,Pune,Maharashtra
"787 Purohit Chowk, Near Park, Ranchi, Jharkhand - 292624","787 Purohit Chowk, Near Park, Ranchi, Jharkhand - 292624",0,,,Ranchi,292624,Jharkhand,
"11/557, Sachar Ganj, Behind School, Guwahati, Assam - 361051","11/557, Sachar Ganj, Behind School, Guwahati, Assam - 361051",0,,11/557,Guwahati,361051,Assam,
"05 Acharya Nagar, Near Park, Pune, Maharashtra - 427153","05 Acharya Nagar, Near Park, Pune, Maharashtra - 427153",0,,05,Pune,411053,Pune,Maharashtra
"19 Badal, Behind School, Amritsar, Punjab - 053708","Behind School, Punjab 053708",1,,,Behind School,553708,,PUNJAB
"44/16 Bansal Ganj, Behind School, Shimla, Himachal Pradesh - 175474","44/16 Bansal Ganj, Behind School, Shimla, Himachal Pradesh - 175474",0,,44/16,Shimla,122154,Himachal Pradesh,
"193 Lal Street, Opposite Mall, Bhubaneswar, Odisha - 044593","193 Lal Street, Opposite Mall, Bhubaneswar, Odisha - 044593",0,,193,Bhubaneswar,400593,Odisha,
"H.No. 142 Bora Path, Near Park, Ranchi, Jharkhand - 501747","H.No. 142 Bora Path, Near Park, Ranchi, Jharkhand - 501747",0,,H.No. 142,Ranchi,501747,Jharkhand,
"35/268, Balay Marg, Near Park, Shimla, Himachal Pradesh - 555094","35/268, Balay Marg, Near Park, Shimla, Himachal Pradesh - 555094",0,,35/268,Shimla,394514,Himachal Pradesh,
"654 Nayar Zila, Opposite Mall, Patna, Bihar - 702505","654 Nayar Zila, Opposite Mall, Patna, Bihar - 702505",0,,654,Nayar Zila,210505,Patna,Bihar
"61, Sharaf Road, Above Shop, Thiruvananthapuram, Kerala - 365400","Sharaf Road, Above Kerala 365400",1,,,,600040,Kanchipuram,
"H.No. 409 Sachdeva Street, Near Park, Chandigarh, Chandigarh - 999864","H.No. 409 Sachdeva Street, Near Park, Chandigarh, Chandigarh - 999864",0,,H.No. 409,Chandigarh,700164,Chandigarh,
"H.No. 096 Sant Chowk, Near Park, Kolkata, West Bengal - 098233","H.No. 096 Sant Chowk, Near Park, Kolkata, West Bengal - 098233",0,,H.No. 096,,700023,Kolkata,West Bengal
"92 Deshmukh Circle, Opposite Mall, Aurangabad, Maharashtra - 279984","92 Deshmukh Circle, Opposite Mall, Aurangabad, Maharashtra - 279984",0,Deshmukh Circle,92,Aurangabad,421004,,Maharashtra
"H.No. 42, Rout Path, Near Park, Nagpur, Maharashtra - 900349","H.No. 42, Rout Path, Near Park, Nagpur, Maharashtra - 900349",0,,H.No. 42,Nagpur,400349,Maharashtra,
"09/561 Rao Path, Opposite Mall, Dehradun, Uttarakhand - 914846","09/561 Rao Path, Opposite Mall, Dehradun, Uttarakhand - 914846",0,,09/561,Dehradun,914846,Uttarakhand,
"03/853, Kade Chowk, Above Shop, Nashik, Maharashtra - 713941","03/853, Kade Chowk, Above Shop, Nashik, Maharashtra - 713941",0,,03/853,Nashik,713941,,Maharashtra
"24/391 Balay Path, Above Shop, Chandigarh, Chandigarh - 182990","24/391 Balay Path, Above Shop, Chandigarh, Chandigarh - 182990",0,,24/391,Chandigarh,210099,Chandigarh,
"68, Bhat Road, Above Shop, Ranchi, Jharkhand - 034828","68, Bhat Road, Above Shop, Ranchi, Jharkhand - 034828",0,,68,Ranchi,034828,Jharkhand,
"89/89, Oommen Circle, Behind School, Chandigarh, Chandigarh - 589426","89/89, Oommen Circle, Behind School, Chandigarh, Chandigarh - 589426",0,,89/89,Chandigarh,210426,Chandigarh,
"H.No. 20, Shroff Chowk, Near Park, Kochi, Kerala - 504600","H.No. 20, Shroff Chowk, Near Park, Kochi, Kerala - 504600",0,,H.No. 20,Kochi,504600,Kanchipuram,Kerala
"13/39 Chawla Marg, Behind School, Jaipur, Rajasthan - 598418","13/39 Chawla Marg, Behind School, Jaipur, Rajasthan - 598418",0,,13/39,Jaipur,382418,Rajasthan,
"07/881 Ganesh Marg, Near Park, Ahmedabad, Gujarat - 243262","07/881 Ganesh Marg, Near Park, Ahmedabad, Gujarat - 243262",0,,07/881,,382262,Ahmedabad,Gujarat
"218 Batra Zila, Opposite Mall, Amritsar, Punjab - 840031","Zila, Opposite Mall, Amritsar, 840031",1,,,Zila,380301,Amritsar,
"H.No. 274, Tailor Ganj, Above Shop, Hyderabad, Telangana - 577456","H.No. 274, Tailor Ganj, Above Shop, Hyderabad, Telangana - 577456",0,,H.No. 274,Tailor Ganj,500056,Hyderabad,Telangana
"H.No. 44 Khalsa Ganj, Opposite Mall, Patna, Bihar - 023585","H.No. 44 Khalsa Ganj, Opposite Mall, Patna, Bihar - 023585",0,,H.No. 44,Patna,203585,Bihar,
"20 Bhardwaj, Behind School, Varanasi, Uttar Pradesh - 482291","20 Bhardwaj, Behind School, Varanasi, Uttar Pradesh - 482291",0,,20 Bhardwaj,Varanasi,482291,Uttar Pradesh,
"14/18, Sabharwal Path, Opposite Mall, Kolkata, West Bengal - 344711","14/18, Sabharwal Path, Opposite Mall, Kolkata, West Bengal - 344711",0,,14/18,,700071,Kolkata,West Bengal
"28, Rajagopalan Road, Behind School, Srinagar, Jammu & Kashmir - 494712","28, Rajagopalan Road, Behind School, Srinagar, Jammu & Kashmir - 494712",0,,28,Srinagar,194412,Jammu & Kashmir,
"71 Bir, Opposite Mall, Indore, Madhya Pradesh - 611792","71 Bir, Opposite Mall, Indore, Madhya Pradesh - 611792",0,,71 BIR,INDORE,611292,MADHYA PRADESH,
"H.No. 542 Rana Nagar, Near Park, Varanasi, Uttar Pradesh - 036578","H.No. 542 Rana Near Park, Uttar",1,,H.No. 542,Uttar,201005,,
"171 Khosla Nagar, Behind School, Guwahati, Assam - 249069","171 Khosla Nagar, Behind School, Guwahati, Assam - 249069",0,,171,Khosla Nagar,249069,Guwahati,Assam
"63 Pandya Road, Above Shop, Shimla, Himachal Pradesh - 405358","63 Pandya Road, Above Shop, Shimla, Himachal Pradesh - 405358",0,,63,Shimla,411358,Himachal Pradesh,
"63/54, Shukla Road, Behind School, Aurangabad, Maharashtra - 981546","Road, Behind School, - 981546",1,,,,981546,,
"H.No. 805, Soni, Opposite Mall, Meerut, Uttar Pradesh - 890448","H.No. 805, Soni, Opposite Mall, Meerut, Uttar Pradesh - 890448",0,,H.No. 805,Soni,210408,Meerut,Uttar Pradesh
"10/722 Andra Zila, Near Park, Hyderabad, Telangana - 407403","10/722 Andra Zila, Near Park, Hyderabad, Telangana - 407403",0,,10/722,Andhra Zilla,500043,Hyderabad,Telangana
"35/096, Magar Road, Behind School, Shimla, Himachal Pradesh - 678970","Behind School, Shimla, Himachal 678970",1,,,Behind School,122001,Shimla,Himachal
"H.No. 65 Sant, Opposite Mall, Chandigarh, Chandigarh - 073651","H.No. 65 Sant, Opposite Mall, Chandigarh, Chandigarh - 073651",0,,H.No. 65,Chandigarh,700135,Chandigarh,
"183, Prashad Chowk, Behind School, Vijayawada, Andhra Pradesh - 869110","183, Prashad Chowk, Behind School, Vijayawada, Andhra Pradesh - 869110",0,,183,Vijayawada,500010,Andhra Pradesh,
"29/785 Mody Ganj, Near Park, Patna, Bihar - 346423","Mody Ganj, Near Bihar 346423",1,,,Mody Ganj,246324,Bihar,
"03/03, Sarkar Nagar, Behind School, Dehradun, Uttarakhand - 833132","03/03, Sarkar Nagar, Behind 833132",1,,03/03,Sarkar Nagar,700032,,
"16/09 Kara Street, Opposite Mall, Patna, Bihar - 121721","16/09 Kara Street, Opposite Mall, Patna, Bihar - 121721",0,,16/09,Patna,121221,Bihar,
"78, Suresh Circle, Above Shop, Chennai, Tamil Nadu - 174143","78, Suresh Circle, Above Shop, Chennai, Tamil Nadu - 174143",0,,78,,600143,Chennai,Tamil Nadu
"91/417 Chauhan Nagar, Opposite Mall, Srinagar, Jammu & Kashmir - 526078","91/417 Chauhan Nagar, Opposite Mall, Srinagar, Jammu & Kashmir - 526078",0,,91/417,Chauhan Nagar,572678,Srinagar,Jammu & Kashmir
"H.No. 859 Kalla Chowk, Above Shop, Coimbatore, Tamil Nadu - 263297","H.No. 859 Kalla Chowk, Above Shop, Coimbatore, Tamil Nadu - 263297",0,,H.No. 859,Coimbatore,263297,Tamil Nadu,
"85/48 Krishnan Ganj, Near Park, Amritsar, Punjab - 715981","85/48 Krishnan Ganj, Near Park, Amritsar, Punjab - 715981",0,,85/48,Amritsar,715981,Punjab,
"513, Deol Street, Opposite Mall, Patna, Bihar - 529798","513, Deol Street, Opposite Mall, Patna, Bihar - 529798",0,,513,Patna,209798,Bihar,
"H.No. 647 More, Near Park, Delhi, Delhi - 469394","Near Park, Delhi, Delhi -",1,,,Near Park,110001,Delhi,Delhi
"00/23, Warrior Ganj, Above Shop, Bhopal, Madhya Pradesh - 762369","00/23, Warrior Ganj, Above Shop, Bhopal, Madhya Pradesh - 762369",0,,00/23,Warrior Ganj,762369,Bhopal,Madhya Pradesh
"14/139, Bhattacharyya Nagar, Near Park, Kolkata, West Bengal - 292488","14/139, Near Kolkata, Bengal 292488",1,,14/139,,700248,Kolkata,Bengal
"001 Dada Street, Behind School, Srinagar, Jammu & Kashmir - 364157","001 Dada Street, Behind School, Srinagar, Jammu & Kashmir - 364157",0,,001,Srinagar,364157,Jammu & Kashmir,
"76/82, Dube Nagar, Opposite Mall, Chandigarh, Chandigarh - 103156","76/82, Dube Nagar, Opposite Mall, Chandigarh, Chandigarh - 103156",0,,76/82,Dube Nagar,210316,Chandigarh,
"H.No. 228, Kapoor, Behind School, Mumbai, Maharashtra - 927096","H.No. 228, Kapoor, Behind School, Mumbai, Maharashtra - 927096",0,,H.No. 228,Kapoor,400096,Mumbai,Maharashtra
"H.No. 824, Soni Chowk, Opposite Mall, Vizag, Andhra Pradesh - 596524","H.No. 824, Soni Chowk, Opposite Mall, Vizag, Andhra Pradesh - 596524",0,,H.No. 824,Vizag,560524,,Andhra Pradesh
"19/423 Dhingra Zila, Behind School, Thiruvananthapuram, Kerala - 635201","19/423 Dhingra Zila, Behind School, Thiruvananthapuram, Kerala - 635201",0,,19/423,Dhingra Zilla,600531,Thiruvananthapuram,Kerala
"341 Pathak Ganj, Near Park, Thiruvananthapuram, Kerala - 533600","Pathak Ganj, Near Kerala 533600",1,,,Pathak Ganj,600006,Near Kerala,
"H.No. 16, Narayan Chowk, Near Park, Bangalore, Karnataka - 984430","H.No. 16, Narayan Chowk, Near Park, Bangalore, Karnataka - 984430",0,,H.No. 16,,560043,Bangalore,Karnataka
"01 Bose Ganj, Behind School, Ahmedabad, Gujarat - 269679","01 Bose Ganj, Behind School, Ahmedabad, Gujarat - 269679",0,,01,,382679,Ahmedabad,Gujarat
"06/33, Shroff Street, Opposite Mall, Chennai, Tamil Nadu - 780551","06/33, Shroff Street, Opposite Mall, Chennai, Tamil Nadu - 780551",0,,06/33,,600055,Chennai,Tamil Nadu
"H.No. 95 Sathe Circle, Above Shop, Dehradun, Uttarakhand - 080326","H.No. 95 Sathe Circle, Above Shop, Dehradun, Uttarakhand - 080326",0,,H.No. 95,Dehradun,210326,Uttarakhand,
"H.No. 58 Borra Zila, Above Shop, Nashik, Maharashtra - 635700","H.No. 58 Borra Zila, Above Shop, Nashik, Maharashtra - 635700",0,,H.No. 58,Borra Zilla,413105,Nashik,Maharashtra
"H.No. 84 Sarraf Road, Above Shop, Chennai, Tamil Nadu - 588931","H.No. 84 Sarraf Road, Above Shop, Chennai, Tamil Nadu - 588931",0,,H.No. 84,,600091,Chennai,Tamil Nadu
"H.No. 794 Goyal Chowk, Above Shop, Surat, Gujarat - 325277","H.No. 794 Goyal Chowk, Above Shop, Surat, Gujarat - 325277",0,,H.No. 794,Surat,395277,Surat,Gujarat
"06/910, Prashad Circle, Behind School, Dehradun, Uttarakhand - 054573","06/910, Prashad Circle, Behind School, Dehradun, Uttarakhand - 054573",0,,06/910,Dehradun,054573,Uttarakhand,
"475 Sengupta Marg, Opposite Mall, Kochi, Kerala - 926103","475 Sengupta Marg, Opposite Mall, Kochi, Kerala - 926103",0,,475,Kochi,600103,Kanchipuram,Kerala
"98/29 Khurana Nagar, Opposite Mall, Hyderabad, Telangana - 055832","98/29 Khurana Opposite Hyderabad, Telangana",1,,98/29,,500082,Hyderabad,Telangana
"19/70 De Marg, Opposite Mall, Lucknow, Uttar Pradesh - 482872","19/70 De Marg, Opposite Mall, Lucknow, Uttar Pradesh - 482872",0,,19/70,Lucknow,482872,Lucknow,Uttar Pradesh
"241 Thaker Circle, Near Park, Shimla, Himachal Pradesh - 226236","241 Thaker Circle, Near Park, Shimla, Himachal Pradesh - 226236",0,,241,Shimla,122236,Himachal Pradesh,
"H.No. 72 Contractor Path, Above Shop, Nagpur, Maharashtra - 062659","H.No. 72 Contractor Path, Above Shop, Nagpur, Maharashtra - 062659",0,,H.No. 72,Nagpur,062659,Maharashtra,
"H.No. 577, Manne Path, Opposite Mall, Bangalore, Karnataka - 947938","H.No. 577, Manne Path, Opposite Mall, Bangalore, Karnataka - 947938",0,,H.No. 577,,560047,Bangalore,Karnataka
"H.No. 470 Chatterjee Nagar, Near Park, Patna, Bihar - 629153","H.No. 470 Chatterjee Nagar, Near Park, Patna, Bihar - 629153",0,,H.No. 470,Chatterjee Nagar,629153,Patna,Bihar
"H.No. 110 Karan Nagar, Behind School, Nagpur, Maharashtra - 518315","H.No. 110 Karan Nagar, Behind School, Nagpur, Maharashtra - 518315",0,,H.No. 110,Karan Nagar,411315,Nagpur,Maharashtra
"396 Dhar Chowk, Behind School, Ranchi, Jharkhand - 683771","396 Dhar Chowk, Behind School, Ranchi, Jharkhand - 683771",0,,,Ranchi,683171,Jharkhand,
"78 Taneja Chowk, Behind School, Ludhiana, Punjab - 675643","78 Taneja Chowk, Behind School, Ludhiana, Punjab - 675643",0,,78,Ludhiana,122643,Punjab,
"61/916 Bhakta Marg, Opposite Mall, Ranchi, Jharkhand - 655607","61/916 Bhakta Marg, Opposite Mall, Ranchi, Jharkhand - 655607",0,,61/916,Ranchi,655607,Jharkhand,
"21/529 Trivedi Marg, Opposite Mall, Pune, Maharashtra - 165060","21/529 Trivedi Marg, Opposite Mall, Pune, Maharashtra - 165060",0,,21/529,,411005,Pune,Maharashtra
"H.No. 435 Varughese Street, Above Shop, Nagpur, Maharashtra - 733949","H.No. 435 Varughese Street, Above Shop, Nagpur, Maharashtra - 733949",0,,H.No. 435,Nagpur,733949,Maharashtra,
"34/55, Hans Street, Near Park, Nashik, Maharashtra - 090639","34/55, Hans Street, Near Park, Nashik, Maharashtra - 090639",0,,34/55,Nashik,400639,,Maharashtra
"96 Rajan Ganj, Near Park, Mumbai, Maharashtra - 267670","96 Rajan Park, Maharashtra 267670",1,,96,,267670,,Maharashtra
"14 Brahmbhatt Circle, Behind School, Amritsar, Punjab - 684160","14 Brahmbhatt Circle, Behind School, Amritsar, Punjab - 684160",0,Brahmbhatt Circle,14,Amritsar,684160,Punjab,
"851 Bera Marg, Above Shop, Ahmedabad, Gujarat - 586152","851 Marg, Above Gujarat 586152",1,,851,,382152,Gujarat,
"637, Chada Zila, Behind School, Patna, Bihar - 467650","637, Chada Zila, Behind School, Patna, Bihar - 467650",0,,637,Chada Zila,467050,Patna,Bihar
"029 Saraf Street, Opposite Mall, Mumbai, Maharashtra - 469386","Saraf Street, Opposite Mall, Mumbai,",1,,,,400008,Mumbai,
"18, Saha Path, Above Shop, Patna, Bihar - 667352","18, Path, Above Bihar 667352",1,,18,,667352,Bihar,
"25/587 Dhillon, Above Shop, Varanasi, Uttar Pradesh - 036244","25/587 Dhillon, Above Shop, Varanasi, Uttar Pradesh - 036244",0,,25/587,Dhillon,210024,Varanasi,Uttar Pradesh
"044, Sastry Circle, Behind School, Raipur, Chhattisgarh - 576682","044, Sastry Circle, Behind School, Raipur, Chhattisgarh - 576682",0,,044,Raipur,576682,Chhattisgarh,
"H.No. 375 Choudhry Path, Above Shop, Aurangabad, Maharashtra - 653541","H.No. 375 Choudhry Path, Above Shop, Aurangabad, Maharashtra - 653541",0,,H.No. 375,Aurangabad,421501,,Maharashtra
"H.No. 40, Biswas Path, Behind School, Bhopal, Madhya Pradesh - 421475","H.No. 40, Biswas Path, Behind School, Bhopal, Madhya Pradesh - 421475",0,,H.No. 40,Bhopal,421475,Madhya Pradesh,
"45/004, Dixit Street, Behind School, Thiruvananthapuram, Kerala - 599021","Dixit Behind Thiruvananthapuram, Kerala -",1,,,Dixit,600019,Thiruvananthapuram,Kerala
